"x" "y"
-79.9541119825809 9.33253258095217
-79.962075340052 9.3229598378817
-79.9559885754023 9.26032656908362
-79.9528611674273 9.25802400768271
-79.7516872507191 9.15682239759689
-79.7441727757218 9.1564998164117
-79.7426984906688 9.16093026018053
-79.746419105335 9.16830140083707
-79.7406615633332 9.16877786291296
-79.858706752612 9.14461785332766
-79.877913154297 9.14490657369026
-79.8296053087662 9.17935955380184
-79.8210079150947 9.18787650014801
-79.8611859215518 9.15823944144126
-79.7452708882081 9.16175666486687
-79.7125386695866 9.14673916404929
-79.7157571702088 9.15181366553469
-79.8825259176849 9.1434585005296
-79.7740623593923 9.19916681081796
-79.764345958394 9.190280568654
-79.693483461559 9.14148950293587
-79.6931034742621 9.14787413864729
-79.6731287364294 9.12170524830757
-79.6766616143045 9.12372651284366
-79.7988613161195 9.07851824866675
-79.7868642327877 9.07646560403493
-79.6450606726194 9.08047769717365
-79.6424050573415 9.08652639022168
-79.6384032929955 8.98591314459517
-79.6425209694846 8.99585173985968
-79.7480946431268 9.3582171186859
-79.7266380946021 9.35610159756655
-79.6555952704717 9.39100863044098
-79.5391747555954 9.41847773719586
-79.5737549228694 9.45961487179764
-79.5265456440468 9.3965787118339
-79.2867851286955 9.31929672711301
-80.0844623215271 8.70953699117588
-80.08026661456 8.73808453076392
-79.4504315326999 9.28448238771559
-79.415572993732 9.28826538695866
-79.6180445873549 8.98641073733513
-79.618041159951 8.98731498225424
-79.618037732188 8.98821922712782
-79.6171350854637 8.98640732880045
-79.974720713529 9.280868868664
-79.9738103448639 9.28086625733925
-79.9738077148582 9.28177060640611
-79.9738050845849 9.2826749554266
-79.9738024540441 9.2835793044007
