"Mort7" "Mort" "Doa" "Condemn"
0.372975277067349 0.593224722932651 0.03811 0.94185
0.333333333333333 0.769566666666667 0.28571 0.64286
0.184134567532597 0.741465432467403 0.23 1.61
0.573888091822095 1.37251190817791 0.40263 0.81509
2.16666666666667 2.75003333333333 0.33929 2.10714
0.442137639369473 1.23986236063053 0.07595 1.1308
0.48780487804878 2.17599512195122 0.2451 3.92157
0.306073648971784 0.789126351028216 0.18981 1.16883
0.795240696897954 1.89705930310205 0.1135 1.18877
0.398692810457516 1.89870718954248 0.10922 1.49488
0.478945676631308 1.77115432336869 0 0.82873
0.248945147679325 0.590754852320675 0.05648 1.32731
0.766721044045677 0.982878955954323 0.0678 1.11017
0.30765444253015 3.03964555746985 0.23728 3.11314
0.387374461979914 1.95122553802009 0.34375 3.19791
0.541471818853064 1.59162818114694 0.08532 0.94702
2.05128205128205 1.77221794871795 0.09074 1.37318
0.666666666666667 0.779433333333333 0.24003 1.08016
0.294117647058824 1.18798235294118 0.13346 1.61106
0.431372549019608 0.784327450980392 0.03914 0.3366
0.959383753501401 1.6141162464986 0.00901 0.27034
0.845955987424979 1.52044401257502 0.16461 0.41153
1.80305668407816 1.59414331592184 0.12121 0.65152
0.898692810457516 1.55640718954248 0.10525 0.52624
2.24358974358974 1.10101025641026 0.12074 0.60368
0.695611577964519 1.89078842203548 0.10823 0.43929
1.59313725490196 1.13966274509804 0.09134 0.38972
0.597572362278245 0.999827637721755 0.14359 0.46856
0.988235294117647 1.71376470588235 0.32815 0.29937
1.34967320261438 1.36932679738562 0.35176 0.55276
0.754147812971342 1.79425218702866 0.14577 0.17578
0.807843137254902 4.0941568627451 0.9434 0.86532
1.17269984917044 1.86650015082956 0.04649 0.43391
0.544662309368192 1.06753769063181 0.12328 0.77888
1.06407587323618 1.28772412676382 0.45981 0.38582
0.722394220846233 0.570205779153767 0.48947 2.13947
0.866013071895425 0.682186928104575 0.21966 0.99884
0.385714285714286 1.03998571428571 0.31888 1.08419
1.74698795180723 1.08431204819277 0.15528 0.8984
1.47058823529412 1.49901176470588 0.44132 1.31224
1.75503355704698 0.69126644295302 0.92374 1.47535
1.3 1.1321 0.27686 0.76325
2.78440904553149 1.24789095446851 0.38061 1.08173
1.09752992105933 2.89027007894067 0.16026 0.68109
1.37647058823529 1.04702941176471 0.36972 0.74765
1.06586224233283 1.05073775766717 0.05342 0.34722
0.481545559400231 0.198954440599769 0.06957 0.44063
0.900735294117647 1.01716470588235 0.09982 0.16637
5.14705882352941 11.4616411764706 0.30645 2.27957
2 1.8536 0.07659 1.19485
1.35357368753953 1.14482631246047 0.13809 2.082
0.711111111111111 1.19718888888889 0.23657 1.08145
1.16124119550733 0.732958804492671 0.10007 0.55039
1.94277108433735 1.01502891566265 0.2579 0.58027
1.10112359550562 1.03087640449438 0.24401 1.0426
1.08238636363636 0.869313636363636 0.12019 0.78125
3.54575163398693 1.01634836601307 0.13802 0.005741
1.00081699346405 0.428883006535948 0.13016 0.002648
0.560259756796333 0.531640243203667 0.45139 0.7118
1.62091503267974 1.13728496732026 0.3087 0.61739
0.215686274509804 0.322113725490196 0.29065 1.21314
0.39760348583878 0.32949651416122 0.13847 0.94017
0.21468441391155 1.01381558608845 0.21195 0.48446
0.37037037037037 0.33772962962963 0.32118 0.53819
1.24 0.97 0.1324 0.5929
0.705249841872233 0.332050158127767 0.08929 0.68453
0.300653594771242 0.329446405228758 0.16667 0.5
0.437675070028011 0.329124929971989 0.10212 0.56166
0.196078431372549 0.319321568627451 0.2668 0.25692
0.434173669467787 0.226426330532213 0.26276 0.78827
0.216326530612245 0.259173469387755 0.39543 0.78808
0.191938579654511 0.463861420345489 0.09604 0.78753
1.41304347826087 4.67935652173913 0.05552 0.43536
0.716911764705882 0.821088235294118 0.18704 0.59231
0.831138425519461 0.752161574480538 0.11941 0.6547
0.249554367201426 0.243645632798574 0.09506 0.58497
0.652734778121775 1.00616522187822 0.15204 1.26335
0.227217957104004 0.213482042895996 0.15014 1.21903
12.766410912191 0.330389087809035 0.11623 0.66248
0.412796697626419 0.185803302373581 0.44701 0.73457
2.32791327913279 0.607086720867209 0.20692 1.17917
1.14705882352941 0.437941176470588 0.09003 0.73022
0.865196078431373 0.512303921568627 0.19273 1.34912
